"","Date","Open","Close","Gibanje"
"1294",2011-05-13,12695.65,12595.75,0
"1295",2011-05-12,12629.96,12695.92,1
"1296",2011-05-11,12745.87,12630.03,0
"1297",2011-05-10,12685.13,12760.36,1
"1298",2011-05-09,12637.83,12684.68,1
"1299",2011-05-06,12580.76,12638.74,1
"1300",2011-05-05,12723.65,12584.17,0
"1301",2011-05-04,12806.29,12723.58,0
"1302",2011-05-03,12806.38,12807.51,1
"1303",2011-05-02,12810.16,12807.36,0
"1304",2011-04-29,12763.46,12810.54,1
"1305",2011-04-28,12689.9,12763.31,1
"1306",2011-04-27,12592.23,12690.96,1
"1307",2011-04-26,12480.86,12595.37,1
"1308",2011-04-25,12505.99,12479.88,0
"1309",2011-04-21,12453.62,12505.99,1
"1310",2011-04-20,12266.75,12453.54,1
"1311",2011-04-19,12201.44,12266.75,1
"1312",2011-04-18,12339.71,12201.59,0
"1313",2011-04-15,12285.45,12341.83,1
"1314",2011-04-14,12270.24,12285.15,1
"1315",2011-04-13,12263.65,12270.99,1
"1316",2011-04-12,12381.19,12263.58,0
"1317",2011-04-11,12380.43,12381.11,1
"1318",2011-04-08,12409.87,12380.05,0
"1319",2011-04-07,12426.45,12409.49,0
"1320",2011-04-06,12386.66,12426.75,1
"1321",2011-04-05,12402.08,12393.9,0
"1322",2011-04-04,12374.6,12400.03,1
"1323",2011-04-01,12321.02,12376.72,1
"1324",2011-03-31,12350.76,12319.73,0
"1325",2011-03-30,12280.07,12350.61,1
"1326",2011-03-29,12194.48,12279.01,1
"1327",2011-03-28,12221.19,12197.88,0
"1328",2011-03-25,12170.71,12220.59,1
"1329",2011-03-24,12087.54,12170.56,1
"1330",2011-03-23,12018.4,12086.02,1
"1331",2011-03-22,12036.37,12018.63,0
"1332",2011-03-21,11860.11,12036.53,1
"1333",2011-03-18,11777.23,11858.52,1
"1334",2011-03-17,11614.89,11774.59,1
"1335",2011-03-16,11854.2,11613.3,0
"1336",2011-03-15,11988.69,11855.42,0
"1337",2011-03-14,12042.13,11993.16,0
"1338",2011-03-11,11976.96,12044.4,1
"1339",2011-03-10,12211.43,11984.61,0
"1340",2011-03-09,12211.16,12213.09,1
"1341",2011-03-08,12085.87,12214.38,1
"1342",2011-03-07,12171.09,12090.03,0
"1343",2011-03-04,12258.88,12169.88,0
"1344",2011-03-03,12068.01,12258.2,1
"1345",2011-03-02,12057.34,12066.8,1
"1346",2011-03-01,12226.49,12058.02,0
"1347",2011-02-28,12130.45,12226.34,1
"1348",2011-02-25,12060.93,12130.45,1
"1349",2011-02-24,12104.56,12068.5,0
"1350",2011-02-23,12211.81,12105.78,0
"1351",2011-02-22,12389.74,12212.79,0
"1352",2011-02-18,12318.67,12391.25,1
"1353",2011-02-17,12287.72,12318.14,1
"1354",2011-02-16,12219.79,12288.17,1
"1355",2011-02-15,12266.75,12226.64,0
"1356",2011-02-14,12266.83,12268.19,1
"1357",2011-02-11,12227.78,12273.26,1
"1358",2011-02-10,12239.66,12229.29,0
"1359",2011-02-09,12229.29,12239.89,1
"1360",2011-02-08,12152.7,12233.15,1
"1361",2011-02-07,12092.38,12161.63,1
"1362",2011-02-04,12061.73,12092.15,1
"1363",2011-02-03,12040.68,12062.26,1
